   0.0200461634 239.9769134521   0.0000000030   0.6558179259   0.0028115800   0.6573451757  19.9441413879   0.8429725170 111.7114562988   2.2375192642   0.0353276655  -0.0353276655  -0.0030143412  -0.0383420065   0.0417149849   0.0417149849   0.0001784771   0.0418934636   1.0028660297  -0.0030217194  -0.0001766336   0.9900838733   0.0206331536 239.6834259033   0.0353276655   0.0101354374  -0.0001980090   0.4425481558   0.4212736487   0.1115783677   0.0417149849  -0.0054129767   0.1314552426
   0.0212306865 239.3846435547   0.0000000008   0.6553578377   0.0028669382   0.6577157974  19.9423561096   0.8433195353 111.7093429565   2.2326421738   0.0374296159  -0.0374296159  -0.0031922883  -0.0406219028   0.0440132096   0.0440132096   0.0002139591   0.0442271680   1.1399636269  -0.0031824699  -0.0002159348   1.1540393829   0.0218282174 239.0858917236   0.0374296159   0.0106248250  -0.0002158079   0.4418957531   0.4193708599   0.1218154207   0.0440132096  -0.0178151429   0.1381233186
   0.0224364139 238.7817993164   0.0000000031   0.6549580097   0.0029140227   0.6581273675  19.9404315948   0.8437647223 111.7067565918   2.2282986641   0.0395724922  -0.0395724922  -0.0033197908  -0.0428922847   0.0464869738   0.0464869738   0.0001555727   0.0466425456   0.7978380919  -0.0033280728  -0.0001541208   0.7884253263   0.0230446104 238.4776916504   0.0395724922   0.0111101177  -0.0002337057   0.4413333833   0.4174038768   0.1325194091   0.0464869738  -0.0286453981   0.1432082951
   0.0236636288 238.1681823730   0.0000000012   0.6546144485   0.0029535226   0.6585772038  19.9383945465   0.8442354202 111.7048492432   2.2245159149   0.0417580865  -0.0417580865  -0.0035246101  -0.0452826954   0.0492142029   0.0492142029   0.0002162436   0.0494304448   1.0411475897  -0.0035062316  -0.0002178259   1.0542633533   0.0242826492 237.8586883545   0.0417580865   0.0115905656  -0.0002511867   0.4408541918   0.4153662920   0.1436663121   0.0492142029  -0.0383034386   0.1466574520
   0.0249126069 237.5437011719   0.0000000020   0.6543256640   0.0029862174   0.6590639949  19.9361934662   0.8447979093 111.7021484375   2.2207746506   0.0439886190  -0.0439886190  -0.0036467558  -0.0476353765   0.0521537140   0.0521537140   0.0002608678   0.0524145812   1.2066987753  -0.0036508865  -0.0002631042   1.2156670094   0.0255425647 237.2287139893   0.0439886190   0.0120646767  -0.0002675780   0.4404524267   0.4132531285   0.1552261263   0.0521537140  -0.0469325110   0.1487355232
   0.0261835605 236.9082336426   0.0000000021   0.6540892720   0.0030130614   0.6595873833  19.9338760376   0.8454169631 111.6988372803   2.2175102234   0.0462626852  -0.0462626852  -0.0038111547  -0.0500738397   0.0552331731   0.0552331731   0.0002887876   0.0555219613   1.2693538666  -0.0038195089  -0.0002862064   1.2552571297   0.0268245582 236.5877227783   0.0462626852   0.0125304004  -0.0002820586   0.4401213229   0.4110652506   0.1671688706   0.0552331731  -0.0542912632   0.1500805467
   0.0274767615 236.2616271973   0.0000000029   0.6539038420   0.0030352392   0.6601467729  19.9314117432   0.8461099863 111.6950988770   2.2143299580   0.0485828780  -0.0485828780  -0.0040183808  -0.0526012592   0.0582653172   0.0582653172   0.0003029505   0.0585682690   1.2572560310  -0.0039869277  -0.0003020503   1.2634093761   0.0281289667 235.9355163574   0.0485828780   0.0129862018  -0.0002936797   0.4398546219   0.4088050723   0.1794613153   0.0582653172  -0.0601923615   0.1515464038
   0.0287925079 235.6037445068   0.0000000022   0.6537684798   0.0030541413   0.6607412696  19.9287681580   0.8468965888 111.6911163330   2.2113604546   0.0509510450  -0.0509510450  -0.0041153459  -0.0550663918   0.0613440536   0.0613440536   0.0002755335   0.0616195872   1.1121890545  -0.0041590957  -0.0002788962   1.1139211655   0.0294560511 235.2719726562   0.0509510450   0.0134305535  -0.0003013741   0.4396452904   0.4064804316   0.1920747906   0.0613440536  -0.0645148233   0.1537277848
   0.0301310159 234.9344940186   0.0000000030   0.6536806226   0.0030713847   0.6613727808  19.9260139465   0.8478031158 111.6874237061   2.2088382244   0.0533617064  -0.0533617064  -0.0043344954  -0.0576962009   0.0645938665   0.0645938665   0.0001922182   0.0647860840   0.7326971889  -0.0043221838  -0.0001891503   0.7230566740   0.0308059789 234.5970153809   0.0533617064   0.0138619235  -0.0003040202   0.4394867122   0.4041071832   0.2049767375   0.0645938665  -0.0671548098   0.1566450000
   0.0314924978 234.2537536621   0.0000000032   0.6536409259   0.0030887714   0.6620403528  19.9230632782   0.8487690687 111.6848068237   2.2062771320   0.0558155961  -0.0558155961  -0.0044931131  -0.0603087097   0.0679755434   0.0679755434   0.0001990789   0.0681746230   0.7276301384  -0.0044872044  -0.0002018578   0.7387586832   0.0321790166 233.9104919434   0.0558155961   0.0142787835  -0.0003004969   0.4393722117   0.4017051756   0.2181409001   0.0679755434  -0.0679493845   0.1596560031
   0.0328772329 233.5613861084   0.0000000037   0.6536480188   0.0031082218   0.6627454758  19.9199523926   0.8498505354 111.6820526123   2.2047653198   0.0583161935  -0.0583161935  -0.0046402994  -0.0629564896   0.0714947432   0.0714947432   0.0001712886   0.0716660321   0.6021816134  -0.0046520070  -0.0001700247   0.5962338448   0.0335754491 233.2122802734   0.0583161935   0.0146795781  -0.0002897541   0.4392955005   0.3993010521   0.2315435112   0.0714947432  -0.0669886693   0.1621614248
   0.0342854559 232.8572692871   0.0000000044   0.6537017226   0.0031318143   0.6634876728  19.9166851044   0.8510419726 111.6796417236   2.2037425041   0.0608668849  -0.0608668849  -0.0048324382  -0.0656993240   0.0750400349   0.0750400349   0.0001528400   0.0751928762   0.5130842328  -0.0048261094  -0.0001549324   0.5207906365   0.0349954590 232.5022735596   0.0608668849   0.0150624160  -0.0002708657   0.4392507374   0.3969278634   0.2451657653   0.0750400349  -0.0644158572   0.1645242423
   0.0357174166 232.1412811279   0.0000000040   0.6538009644   0.0031617989   0.6642690897  19.9132251740   0.8523969054 111.6774520874   2.2030375004   0.0634704530  -0.0634704530  -0.0050044139  -0.0684748664   0.0786043182   0.0786043182   0.0001420080   0.0787463263   0.4582630694  -0.0049987398  -0.0001364113   0.4407021105   0.0364393741 231.7803192139   0.0634704530   0.0154267820  -0.0002430840   0.4392326176   0.3946239352   0.2589884996   0.0786043182  -0.0605743341   0.1679946631
